Variável,Valor
yi#1#1#0,0.0
yi#1#1#1,72.44399999999985
yi#1#1#2,80.00000000000001
yi#1#1#3,0.0
yi#1#1#4,0.0
yi#1#1#5,0.0
yi#1#1#6,0.0
yi#1#1#7,0.0
yi#1#1#8,0.0
yi#1#1#9,0.0
yi#1#1#10,0.0
yi#1#1#11,0.0
yi#1#1#12,0.0
yi#1#1#13,0.0
yi#1#1#14,0.0
yi#1#1#15,0.0
yi#1#1#16,0.0
yi#1#1#17,0.0
yi#1#1#18,0.0
yi#1#1#19,0.0
yi#1#1#20,0.0
yi#1#1#21,0.0
yi#1#1#22,0.0
yi#1#1#23,0.0
yi#1#1#24,0.0
yi#1#1#25,0.0
yi#1#1#26,0.0
yi#1#1#27,0.0
yi#1#1#28,0.0
yi#1#1#29,0.0
yi#1#1#30,0.0
yi#1#3#0,0.0
yi#1#3#1,0.0
yi#1#3#2,0.0
yi#1#3#3,0.0
yi#1#3#4,0.0
yi#1#3#5,0.0
yi#1#3#6,0.0
yi#1#3#7,0.0
yi#1#3#8,0.0
yi#1#3#9,0.0
yi#1#3#10,0.0
yi#1#3#11,0.0
yi#1#3#12,0.0
yi#1#3#13,0.0
yi#1#3#14,0.0
yi#1#3#15,0.0
yi#1#3#16,0.0
yi#1#3#17,24.99999999999997
yi#1#3#18,50.000000000000014
yi#1#3#19,50.000000000000014
yi#1#3#20,0.0
yi#1#3#21,0.0
yi#1#3#22,0.0
yi#1#3#23,0.0
yi#1#3#24,0.0
yi#1#3#25,0.0
yi#1#3#26,0.0
yi#1#3#27,0.0
yi#1#3#28,0.0
yi#1#3#29,0.0
yi#1#3#30,0.0
yi#2#5#0,0.0
yi#2#5#1,9.830400000000001
yi#2#5#2,0.0
yi#2#5#3,0.0
yi#2#5#4,0.0
yi#2#5#5,16.000000000000004
yi#2#5#6,2.102399999999996
yi#2#5#7,0.0
yi#2#5#8,0.0
yi#2#5#9,0.0
yi#2#5#10,16.000000000000004
yi#2#5#11,11.033599999999996
yi#2#5#12,16.000000000000004
yi#2#5#13,11.033599999999996
yi#2#5#14,16.000000000000004
yi#2#5#15,0.0
yi#2#5#16,0.0
yi#2#5#17,0.0
yi#2#5#18,0.0
yi#2#5#19,0.0
yi#2#5#20,0.0
yi#2#5#21,0.0
yi#2#5#22,0.0
yi#2#5#23,0.0
yi#2#5#24,0.0
yi#2#5#25,0.0
yi#2#5#26,0.0
yi#2#5#27,0.0
yi#2#5#28,0.0
yi#2#5#29,0.0
yi#2#5#30,0.0
yi#3#1#0,0.0
yi#3#1#1,75.6
yi#3#1#2,80.00000000000001
yi#3#1#3,7.695999999999984
yi#3#1#4,0.0
yi#3#1#5,0.0
yi#3#1#6,0.0
yi#3#1#7,0.0
yi#3#1#8,0.0
yi#3#1#9,0.0
yi#3#1#10,0.0
yi#3#1#11,0.0
yi#3#1#12,0.0
yi#3#1#13,0.0
yi#3#1#14,0.0
yi#3#1#15,0.0
yi#3#1#16,0.0
yi#3#1#17,0.0
yi#3#1#18,0.0
yi#3#1#19,0.0
yi#3#1#20,0.0
yi#3#1#21,0.0
yi#3#1#22,0.0
yi#3#1#23,0.0
yi#3#1#24,0.0
yi#3#1#25,0.0
yi#3#1#26,0.0
yi#3#1#27,0.0
yi#3#1#28,0.0
yi#3#1#29,0.0
yi#3#1#30,0.0
yi#4#3#0,0.0
yi#4#3#1,0.0
yi#4#3#2,0.0
yi#4#3#3,0.0
yi#4#3#4,0.0
yi#4#3#5,0.0
yi#4#3#6,0.0
yi#4#3#7,0.0
yi#4#3#8,50.000000000000014
yi#4#3#9,50.000000000000014
yi#4#3#10,19.99999999999997
yi#4#3#11,0.0
yi#4#3#12,0.0
yi#4#3#13,0.0
yi#4#3#14,0.0
yi#4#3#15,0.0
yi#4#3#16,0.0
yi#4#3#17,0.0
yi#4#3#18,0.0
yi#4#3#19,0.0
yi#4#3#20,25.00000000000003
yi#4#3#21,0.0
yi#4#3#22,0.0
yi#4#3#23,0.0
yi#4#3#24,0.0
yi#4#3#25,0.0
yi#4#3#26,0.0
yi#4#3#27,0.0
yi#4#3#28,0.0
yi#4#3#29,0.0
yi#4#3#30,0.0
yi#4#6#0,0.0
yi#4#6#1,20.000000000000014
yi#4#6#2,20.000000000000004
yi#4#6#3,20.000000000000004
yi#4#6#4,20.000000000000004
yi#4#6#5,20.000000000000004
yi#4#6#6,20.000000000000004
yi#4#6#7,20.000000000000004
yi#4#6#8,20.000000000000004
yi#4#6#9,20.000000000000004
yi#4#6#10,20.000000000000004
yi#4#6#11,20.000000000000004
yi#4#6#12,20.000000000000004
yi#4#6#13,20.000000000000004
yi#4#6#14,20.000000000000004
yi#4#6#15,20.000000000000004
yi#4#6#16,20.000000000000004
